Predicted,Actual
182.32785,167.78
167.36139,147.27
172.46666,148.03
164.89075,195.89
179.27782,178.39
149.95703,162.88
153.33789,141.66
159.95505,165.63
181.5622,182.68
177.46124,213.07
170.74438,167.23
179.74797,172.69
176.32529,222.08
175.8945,194.17
158.19366,177.56
179.53342,194.68
180.59024,153.84
181.17833,218.24
162.65132,142.41
159.85445,168.82
176.9134,181.71
178.01228,212.49
154.84084,170.4
162.29498,154.5
151.1754,160.62
181.47516,194.03
157.2363,126.36
159.53748,166.42
179.80725,184.15
154.41966,142.56
164.40527,177.3
155.86223,135.21
170.04364,172.28
166.32655,178.85
168.62021,172.99
167.38312,187.44
160.17041,148.11
167.85297,196.45
182.22754,220.27
151.30553,158.52
160.32294,151.21
167.27081,150.17
181.38654,172.75
172.14725,153.71
175.58963,193.05
153.36467,166.02
158.71747,175.6
162.26266,126.36
157.87909,181.42
163.57477,173.44
173.71727,130.73
161.61584,169.59
179.1601,173.03
161.09575,174.15
172.2397,186.68
178.29059,187.44
171.16765,172.69
157.34264,158.52
158.83292,159.3
169.47223,129.62
167.75745,139.5
177.46423,173.0
165.4606,148.48
179.53894,207.15
181.47076,224.18
173.95032,176.08
175.11801,175.49
180.3646,176.55
169.10924,161.38
164.98615,193.42
168.51389,191.73
165.96738,140.52
171.65791,151.73
172.95293,194.03
161.77348,176.3
181.66252,207.49
178.4721,185.85
158.98071,147.41
153.10938,143.86
168.91098,214.24
171.38855,184.92
169.30049,166.89
161.45457,166.02
179.52995,143.96
175.21413,185.56
165.16498,154.46
155.77594,154.51
177.68604,169.67
165.78284,152.34
177.99167,126.04
157.91112,179.58
179.0957,148.5
168.5394,126.04
162.96709,192.53
174.53455,161.38
154.3122,157.65
152.70161,143.78
172.5009,155.31
156.6295,131.86
171.84424,155.81
159.7907,176.3
166.85147,218.54
170.54428,155.74
164.04422,183.63
171.86783,170.85
157.67426,186.86
159.58943,141.66
160.79607,135.21
156.91768,158.52
172.54721,181.12
146.42651,165.38
162.85294,149.4
177.77257,183.79
172.24942,179.21
181.23352,197.96
152.94714,136.5
174.57217,181.16
164.14084,156.8
155.13007,171.83
178.1781,218.54
181.64197,170.03
161.22443,155.35
158.41946,145.86
157.59874,165.07
172.93915,224.31
164.45248,151.07
176.12358,186.19
155.91473,189.77
177.47954,155.33
172.11063,169.3
171.63293,142.45
178.3656,173.97
177.85704,191.04
169.26706,182.63
175.49648,194.27
181.6245,188.01
155.4986,159.59
172.51163,191.04
152.37683,148.71
155.96559,155.35
181.07997,187.65
169.31396,183.63
176.43214,130.03
158.08035,189.69
177.04582,193.22
165.65048,179.23
167.9264,193.22
172.72842,175.46
179.44522,176.65
173.9093,188.61
156.17691,172.14
179.44107,174.21
158.96922,142.41
175.21002,176.08
180.52267,185.59
175.77438,183.63
178.58037,189.87
150.08493,140.36
173.85587,189.37
156.5047,146.5
173.86021,182.63
156.34213,149.7
165.98128,153.2
158.56047,151.92
179.14178,183.63
160.30429,172.28
158.20659,165.79
153.51251,165.79
166.15466,155.81
161.57524,170.4
161.14977,152.95
158.47429,173.57
154.52792,137.13
174.75208,190.54
155.56223,137.44
174.65875,179.46
174.36926,187.68
180.20049,189.71
153.5663,135.43
175.16011,191.04
170.0835,163.76
154.78668,149.7
172.63934,152.95
174.95703,135.27
173.7262,154.53
171.38138,155.85
171.84961,151.6
168.46225,173.03
167.55109,185.56
173.23949,195.18
180.27606,167.57
151.71901,150.62
176.13329,170.77
176.75513,150.47
172.63695,213.31
160.05038,175.06
164.33974,133.49
169.32893,174.2
168.59227,171.77
182.16896,174.91
177.05408,176.08
175.46918,181.56
161.99896,146.1
154.86482,167.66
156.20131,173.57
161.66595,160.62
155.91328,152.06
158.65253,157.35
176.0746,170.29
178.44829,173.03
163.28114,144.8
161.79718,154.46
174.39096,179.66
177.07442,174.91
172.23419,181.91
166.4521,172.14
174.53635,164.92
180.79446,218.24
159.24614,165.79
164.8038,165.81
165.92581,174.15
159.06927,148.71
182.33426,221.55
152.23994,165.07
166.60266,168.82
154.06055,130.73
159.25273,177.79
157.70073,145.03
167.74707,186.86
175.826,191.04
168.45715,163.43
154.32602,166.17
159.70813,178.44
159.77435,169.59
178.83716,196.45
173.287,214.29
150.45624,165.38
177.75844,150.59
168.40373,182.31
164.20613,173.66
169.16444,179.21
181.3847,191.33
174.65271,157.35
165.55475,174.55
179.14694,194.5
158.28961,155.35
177.89357,192.53
173.26953,193.13
175.85175,186.86
179.32115,181.82
180.4843,161.51
169.1386,142.56
165.46516,169.59
158.82135,209.27
170.82712,196.45
180.33084,165.02
157.92574,160.77
167.20589,169.02
177.525,177.3
176.31924,192.42
160.81046,177.77
180.24654,147.07
159.17288,150.7
151.51743,146.5
163.47296,142.65
176.49577,194.27
167.277,152.99
154.39209,147.96
180.07417,176.57
149.57104,137.35
169.08731,195.89
180.67374,145.31
157.88455,167.45
161.5515,138.34
172.6614,163.76
180.08351,183.38
173.94446,189.3
158.16466,177.56
169.56592,188.61
161.37424,126.04
176.1446,141.11
166.83745,167.53
182.20013,193.73
157.35374,149.24
180.29121,171.96
164.28015,154.53
158.98581,154.5
179.66544,177.25
160.2555,138.2
150.81725,126.04
162.52875,149.64
181.92654,234.4
157.0134,143.86
173.78673,126.04
174.51419,175.49
163.22173,178.39
154.67892,159.3
167.17343,176.3
174.00432,150.82
180.72168,193.99
164.4443,142.16
174.14969,149.4
150.53572,147.04
180.05255,182.89
181.17389,193.12
157.62839,165.56
158.77777,154.65
172.75685,160.8
179.91539,170.33
180.64737,145.91
152.2164,156.77
158.24028,165.07
163.17674,189.41
152.72408,178.44
176.46594,178.72
180.4709,146.63
160.75424,173.555
166.48279,177.97
166.9224,158.52
161.70842,141.66
155.278,165.75
182.01486,170.85
154.48802,158.93
165.13138,171.1
173.76193,193.97
167.8221,161.51
178.38303,193.62
165.30045,181.99
181.36288,187.68
167.70164,192.32
150.50269,142.56
174.92754,185.01
176.8874,148.79
179.49355,189.71
178.15532,192.58
181.07115,175.49
179.16772,193.18
170.81108,188.08
156.37502,131.56
153.2026,157.65
170.05093,153.72
168.90533,133.49
156.86548,154.51
171.8707,172.4
157.48787,188.04
175.39288,193.99
179.87674,175.49
159.69911,146.87
180.79733,185.64
161.49449,186.4
150.34755,146.5
163.85352,163.43
181.11731,217.96
158.84245,147.07
159.64328,138.2
165.682,177.15
163.25545,145.43
173.65579,173.5
172.44264,148.84
180.44551,216.67
167.9415,148.01
177.2581,171.96
177.10834,182.4
170.89713,181.12
176.90913,147.27
160.67493,134.87
157.77882,155.31
174.70836,152.37
163.06155,176.08
170.672,189.43
170.58078,162.03
154.65172,149.24
166.44852,171.37
180.61539,209.27
161.0874,151.01
178.51053,147.92
174.407,173.75
168.5545,216.75
179.34064,170.29
173.19135,160.01
164.82635,170.29
175.03035,135.27
172.88948,194.35
154.2279,138.38
180.71628,137.87
151.57617,163.64
164.3858,143.39
158.71771,148.84
161.17508,150.62
154.6871,153.34
171.19781,185.85
169.36453,168.82
176.42456,126.36
181.69398,193.12
166.56813,179.66
178.55374,171.21
180.8338,190.9
175.89816,219.86
165.81921,149.45
180.27393,181.16
179.4381,178.67
155.93445,141.66
165.7052,151.73
172.93826,153.83
177.7013,167.04
173.47049,142.53
155.18542,174.61
159.58864,144.22
181.33304,182.4
174.61523,130.15
179.96573,178.39
180.71936,193.62
180.76472,189.71
160.3686,144.8
165.25429,150.65
181.87303,189.99
166.87515,185.64
164.48312,146.63
169.16844,130.03
174.54431,183.79
172.91243,144.29
171.86612,165.35
167.74611,155.31
160.72807,165.33
175.53351,198.11
181.67926,166.89
158.83655,174.31
164.31729,138.98
158.49469,178.96
159.39977,174.55
178.09125,169.89
179.16566,193.99
167.61826,195.1
160.97414,160.77
181.88628,189.43
154.46687,167.4
152.60728,150.62
178.50217,194.48
148.67934,157.96
180.89946,129.62
167.56165,186.86
152.23647,165.79
158.32771,143.86
157.30421,158.52
155.0896,142.48
